"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28855","Delete from cart","chromium","2026-05-12","failed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","9463","ADD product Nexus to cart","chromium","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","14473","ADD product Samsung galaxy s6 to cart","chromium","2026-05-12","passed","2026-05-12","Add and delete cart","exercise2.spec.ts","",""
"","4828","Place order and confirm","chromium","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","6874","Demoblaze Login","setup","2026-05-12","passed","2026-05-12","","global.setup.ts","",""
"","9270","ADD product Nexus to cart","DemoBlaze","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","11146","ADD product Nexus to cart","chromium","2026-05-12","passed","2026-05-12","Add and delete cart","exercise2.spec.ts","",""
"","9970","ADD product Samsung galaxy s6 to cart","DemoBlaze","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","11742","ADD product Nokia lumia to cart","chromium","2026-05-12","passed","2026-05-12","Add and delete cart","exercise2.spec.ts","",""
"","26468","Place order and confirm","chromium","2026-05-12","passed","2026-05-12","Add and delete cart","exercise2.spec.ts","",""
"","11983","ADD product Nokia lumia to cart","DemoBlaze","2026-05-12","failed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","6268","Place order and confirm","DemoBlaze","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","26575","Delete from cart","DemoBlaze","2026-05-12","failed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","8353","ADD product Nokia lumia to cart","chromium","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","7812","ADD product Samsung galaxy s6 to cart","chromium","2026-05-12","passed","2026-05-12","CheckOut Order","demoblaze.spec.ts","",""
"","12673","Delete from cart","chromium","2026-05-12","failed","2026-05-12","Add and delete cart","exercise2.spec.ts","",""
